"id","id_parent","nome","vtype","vlink","id_artist","publishedon","views","likes","dislikes","lastupdate","recentviews","recentlikes","promoted","dead","promotedviews"
"1","0","When would it be","main","o6HFiVaK15I","101","2014-10-30","8452450","54437","661","2020-05-03 11:39:02","1471","18","n","n","0"
"2","0","Not Spring,love or Cherry Blossoms","main","ouR4nn1G9r4","100","2014-04-07","104807528","619578","12608","2020-05-03 01:44:01","44254","548","n","n","0"
"3","0","Good day","main","jeqdYqsrsA0","98","2011-02-07","41871889","322441","9863","2020-05-03 03:03:02","29350","405","n","n","0"
"4","3","Good day","alternate","va193VEo5hk","98","2011-06-08","1947229","19673","291","2020-05-03 07:42:01","313","11","n","n","0"
"6","0","You & I","main","f_iQRO5BdCM","98","2011-11-28","29156337","235975","6765","2020-05-03 03:56:02","32670","289","n","n","0"
"7","6","You & I","duplicate","NJR8Inf77Ac","98","2011-12-05","26717648","145330","4384","2020-05-03 05:34:01","10106","76","n","n","0"
"8","0","SOGYEOKDONG","main","GHu39FEFIks","98","2014-10-05","8573403","52866","1611","2020-05-03 07:45:02","1404","25","n","n","0"
"9","0","The red shoes","main","Q0xvVgKJxfs","98","2013-10-07","15817077","114987","7106","2020-05-03 07:32:02","7819","110","n","n","0"
"10","9","The red shoes","alternate","js3PTlQFakk","98","2013-10-20","2527406","22781","767","2020-05-03 07:40:02","784","20","n","n","0"
"12","0","Naui Yetnal Iyagi","main","npttud7NkL0","98","2014-05-15","20447507","128235","2628","2020-05-03 07:33:02","5967","88","n","n","0"
"14","0","Friday (ft Jang Yi-jeong)","main","EiVmQZwJhsA","98","2013-12-19","37552010","195023","3835","2020-05-03 03:18:01","18210","260","n","n","0"
"16","17","Darling","duplicate","JP9NuaxhgcM","77","2014-07-13","5175677","50681","2079","2020-05-03 07:34:01","307","5","n","n","0"
"17","0","Darling","main","QB4dQcxgJPY","77","2014-07-13","46754350","206232","11986","2020-05-03 02:49:01","11416","73","n","n","0"
"22","0","Something","main","akPDKYwIoVk","77","2014-01-02","29689606","201911","9155","2020-05-03 03:52:01","7069","85","n","n","0"
"23","22","Something","duplicate","JO7qQ7peKeM","77","2014-01-02","17760381","154029","6285","2020-05-03 07:35:02","1588","20","n","n","0"
"24","22","Something","alternate","zVO5xTAbxm8","77","2014-01-16","25641844","293107","5429","2020-05-03 20:40:01","39738","438","n","n","0"
"25","22","Something","duplicate","Gdma5UiMaEQ","77","2014-01-16","23957346","168932","4120","2020-05-03 08:02:01","1743","7","n","n","0"
"29","0","Female President","main","xF3MC8PWgJE","77","2013-06-23","27752881","140594","10838","2020-05-03 05:37:01","6769","83","n","n","0"
"30","29","Female President","alternate","U8ybc5lM4DM","77","2013-06-28","8901964","58018","2905","2020-05-03 07:43:01","358","2","n","n","0"
"31","29","Female President","duplicate","v0f9ifrDSp8","77","2013-06-23","8566420","54044","5615","2020-05-03 07:35:02","1686","19","n","n","0"
"34","35","Expectation","duplicate","iUtGJtyoIfg","77","2013-03-13","12548101","88126","2672","2020-05-03 07:39:02","1078","4","n","n","0"
"35","0","Expectation","main","t8YXut6_56c","77","2013-03-13","42642176","202226","6583","2020-05-03 03:00:29","18366","79","n","n","0"
"36","35","Expectation","alternate","fqR2HGkjFCA","77","2013-03-17","29856229","186344","4886","2020-05-03 03:51:01","5137","67","n","n","0"
"40","41","Don't Forget Me","duplicate","w2S7ljcA7NM","77","2012-10-25","3839466","34454","710","2020-05-03 04:59:01","1956","31","n","n","0"
"41","0","Don't Forget Me","main","_H7ZG7yk5Wo","77","2012-10-25","14074383","77596","1955","2020-05-03 07:43:01","1906","11","n","n","0"
"43","0","Twinkle Twinkle","main","DWpl2CaCnVA","77","2011-03-15","17795702","102769","4637","2020-05-03 07:43:01","3787","40","n","n","0"
"44","43","Twinkle Twinkle","duplicate","EEEIN-mtN6c","77","2011-03-17","3650722","18682","863","2020-05-03 05:08:02","419","3","n","n","0"
"46","0","Give It To Me","main","p6XLNsJ9YrA","174","2013-06-10","59672066","266954","10388","2020-05-03 02:31:01","16907","122","n","n","0"
"47","46","Give It To Me","dance","jOBE9QSO9II","174","2013-06-19","12230817","61725","2211","2020-05-03 05:19:01","942","18","n","n","0"
"52","0","Loving U","main","oL2AlXWVbKU","174","2012-06-27","41042678","173158","5695","2020-05-03 03:06:01","7815","61","n","n","0"
"53","52","Loving U","dance","RK_TkMWTdiw","174","2012-07-02","13149515","58177","1885","2020-05-03 07:44:01","907","4","n","n","0"
