"musicshow","id_artist","data"
"musicbank","98","2014-01-03"
"musiccore","98","2014-01-04"
"inkigayo","98","2014-01-05"
"showchampion","77","2014-01-08"
"countdown","259","2014-01-09"
"musicbank","259","2014-01-10"
"musiccore","77","2014-01-11"
"inkigayo","77","2014-01-12"
"showchampion","13","2014-01-15"
"countdown","207","2014-01-16"
"musicbank","207","2014-01-17"
"musiccore","207","2014-01-18"
"inkigayo","207","2014-01-19"
"showchampion","23","2014-01-22"
"countdown","207","2014-01-23"
"musicbank","23","2014-01-24"
"musiccore","23","2014-01-25"
"inkigayo","23","2014-01-26"
"showchampion","23","2014-01-29"
"countdown","207","2014-01-30"
"musicbank","23","2014-01-31"
"inkigayo","77","2014-02-02"
"showchampion","23","2014-02-05"
"countdown","77","2014-02-06"
"musicbank","207","2014-02-07"
"musiccore","23","2014-02-08"
"inkigayo","16","2014-02-09"
"showchampion","22","2014-02-12"
"countdown","77","2014-02-13"
"musicbank","22","2014-02-14"
"inkigayo","22","2014-02-16"
"showchampion","180","2014-02-19"
"countdown","180","2014-02-20"
"musicbank","180","2014-02-21"
"musiccore","180","2014-02-22"
"inkigayo","180","2014-02-23"
"countdown","180","2014-02-27"
"musicbank","180","2014-02-28"
"musiccore","180","2014-03-01"
"inkigayo","268","2014-03-02"
"showchampion","46","2014-03-05"
"countdown","78","2014-03-06"
"musicbank","180","2014-03-07"
"inkigayo","78","2014-03-09"
"showchampion","78","2014-03-12"
"countdown","78","2014-03-13"
"musicbank","78","2014-03-14"
"musiccore","78","2014-03-15"
"inkigayo","4","2014-03-16"
"showchampion","78","2014-03-19"
"countdown","4","2014-03-20"
"musicbank","180","2014-03-21"
"musiccore","78","2014-03-22"
"inkigayo","78","2014-03-23"
"countdown","4","2014-03-27"
"musicbank","46","2014-03-28"
"inkigayo","7","2014-03-30"
"countdown","7","2014-04-03"
"musicbank","180","2014-04-04"
"inkigayo","347","2014-04-06"
"showchampion","18","2014-04-09"
"countdown","18","2014-04-10"
"musicbank","18","2014-04-11"
"musiccore","18","2014-04-12"
"inkigayo","18","2014-04-13"
"showchampion","137","2014-04-16"
"countdown","14","2014-04-17"
"inkigayo","14","2014-04-20"
"countdown","14","2014-04-24"
"inkigayo","14","2014-04-27"
"countdown","14","2014-05-01"
"musiccore","347","2014-05-04"
"inkigayo","14","2014-05-04"
"countdown","18","2014-05-08"
"inkigayo","100","2014-05-11"
"showchampion","373","2014-05-14"
"countdown","373","2014-05-15"
"musiccore","373","2014-05-17"
"inkigayo","373","2014-05-18"
"showchampion","352","2014-05-21"
"countdown","373","2014-05-22"
"musiccore","373","2014-05-24"
"inkigayo","373","2014-05-25"
"showchampion","96","2014-05-28"
"countdown","96","2014-05-29"
"musicbank","96","2014-05-30"
"musiccore","321","2014-05-31"
"inkigayo","373","2014-06-01"
"showchampion","96","2014-06-04"
"countdown","96","2014-06-05"
"musicbank","321","2014-06-06"
"musiccore","72","2014-06-07"
"inkigayo","215","2014-06-08"
"showchampion","215","2014-06-11"
"countdown","199","2014-06-12"
"musicbank","96","2014-06-13"
