,Song Title,Artist,Type of Artist,Likes,Likes Ratio,MV Views,Days Old,Years Old,Likes/MV,Sales,Total Views
0,Gangnam Style,PSY,male soloist,"17,848,966",88.2%,"3,612,465,662",2.859 days,7.832876712328767,"1,997,592","518,974","6,054,464,700"
1,Gentleman,PSY,male soloist,"6,007,998",87.3%,"1,312,037,506",2.587 days,7.087671232876712,"1,997,592","518,974","6,054,464,700"
2,Daddy,PSY,male soloist,"3,799,519",93.8%,"493,121,830",1.626 days,4.454794520547945,"1,997,592","518,974","6,054,464,700"
3,New Face,PSY,male soloist,"1,581,019",95.0%,"205,665,596",1.099 days,3.010958904109589,"1,997,592","518,974","6,054,464,700"
4,I Luv it,PSY,male soloist,"973,795",94.7%,"101,822,612",1.099 days,3.010958904109589,"1,997,592","518,974","6,054,464,700"
5,Gangnam Style (alt.)(alternate),PSY,male soloist,"462,314",85.1%,"112,703,590",2.759 days,7.558904109589041,"1,997,592","518,974","6,054,464,700"
6,Napal Baji,PSY,male soloist,"398,517",94.5%,"67,641,975",1.626 days,4.454794520547945,"1,997,592","518,974","6,054,464,700"
7,Boy with luv,BTS,male group,"14,942,987",94.3%,"776,602,125",397 days,1.0876712328767124,"2,400,603","21,047,066","11,914,564,663"
8,DNA,BTS,male group,"13,257,145",94.9%,"978,195,463",968 days,2.652054794520548,"2,400,603","21,047,066","11,914,564,663"
9,Fake Love,BTS,male group,"11,959,769",96.1%,"694,413,485",726 days,1.989041095890411,"2,400,603","21,047,066","11,914,564,663"
10,Idol,BTS,male group,"11,685,884",94.4%,"659,962,104",628 days,1.7205479452054795,"2,400,603","21,047,066","11,914,564,663"
11,Mic Drop (Steve Aoki remix)(alternate),BTS,male group,"9,475,240",97.4%,"659,232,996",901 days,2.4684931506849317,"2,400,603","21,047,066","11,914,564,663"
12,On: come prima(alternate),BTS,male group,"8,440,893",97.1%,"174,446,047",82 days,0.22465753424657534,"2,400,603","21,047,066","11,914,564,663"
13,On,BTS,male group,"7,992,865",97.4%,"126,928,214",76 days,0.20821917808219179,"2,400,603","21,047,066","11,914,564,663"
14,Blood Sweat & Tears,BTS,male group,"7,798,775",97.5%,"574,418,898",1.312 days,3.5945205479452054,"2,400,603","21,047,066","11,914,564,663"
15,Fire,BTS,male group,"6,866,710",96.5%,"649,850,766",1.473 days,4.035616438356165,"2,400,603","21,047,066","11,914,564,663"
16,Save me,BTS,male group,"6,283,121",98.2%,"489,985,746",1.459 days,3.9972602739726026,"2,400,603","21,047,066","11,914,564,663"
17,Not Today,BTS,male group,"5,983,877",97.5%,"401,165,913",1.179 days,3.23013698630137,"2,400,603","21,047,066","11,914,564,663"
18,Black Swan,BTS,male group,"5,724,981",98.9%,"82,022,874",70 days,0.1917808219178082,"2,400,603","21,047,066","11,914,564,663"
19,Dope,BTS,male group,"5,708,203",97.5%,"564,115,146",1.786 days,4.8931506849315065,"2,400,603","21,047,066","11,914,564,663"
20,Shadow,BTS,male group,"5,471,515",98.1%,"71,855,041",125 days,0.3424657534246575,"2,400,603","21,047,066","11,914,564,663"
21,Spring Day,BTS,male group,"5,389,609",98.2%,"314,080,229",1.186 days,3.249315068493151,"2,400,603","21,047,066","11,914,564,663"
